POB_S_AGUA,AREA_GEO,CAPACITY_W,DENSITY_WE,TOTAL_DEGR,WEGHITED_T,WEIGHTED_B,WEIGHTED_1,Frecuencia,Volumen,FrecCateg,PrecCateg,VolCateg,ProbaFP,ProbaVP,NormaFrec,NormaVol,IS50,IS90,IS75,Grupos,Grupos2,Precipitac,id
0,312528.8958,43693976.7,139.8077979,11,0.593012106,0.1225995,5.31e-05,68,61.08639706,3,4,3,0.210116732,0.229571984,0.095577746,0.014541447,0.055059597,0.022645077,0.034800522,5,12,756.2894737,120
12,288190.6138,1385470.0,4.807477876,0,0.0,0.0,0.0,8,0.5734375,2,4,1,0.340466926,0.321011673,0.009985735,0.000133557,0.005059646,0.001118775,0.002596601,4,8,812.9782609,121
258,277115.1566,14639360.0,52.82771313,1,0.000138282,0.0,1.72e-06,31,201.9419355,3,4,4,0.210116732,0.233463035,0.042796006,0.04807858,0.045437293,0.047550323,0.046757937,5,12,785.6333333,122
107,452142.3377,100857720.2,223.066304,4,0.039000082,0.1362316,0.000165635,8,8.134375,2,4,2,0.340466926,0.215953307,0.009985735,0.001933786,0.00595976,0.00273898,0.003946773,4,8,781.2833333,123
151,542262.3585,125521536.0,231.4775017,8,0.041325351,0.322102,0.001290279,1,0.0125,1,4,1,0.30155642,0.321011673,0.0,0.0,0.0,0.0,0.0,3,4,762.2214286,124
298,1387357.233,5276993.0,3.803629572,2,0.002566825,0.323731,0.000113001,403,127.6202171,4,4,4,0.147859922,0.233463035,0.573466476,0.03038288,0.301924678,0.08469124,0.166153779,5,16,795.1081461,125
157,1136169.037,0.0,0.0,0,0.0,0.0,0.0,403,127.6202171,4,4,4,0.147859922,0.233463035,0.573466476,0.03038288,0.301924678,0.08469124,0.166153779,5,16,769.5519481,126
173,1084707.277,8296595.0,7.648694882,7,0.042062406,0.03240736,1.72e-06,403,127.6202171,4,4,4,0.147859922,0.233463035,0.573466476,0.03038288,0.301924678,0.08469124,0.166153779,5,16,840.7728873,127
279,1231760.653,0.0,0.0,0,0.0,0.0,0.0,403,127.6202171,4,4,4,0.147859922,0.233463035,0.573466476,0.03038288,0.301924678,0.08469124,0.166153779,5,16,790.6892361,128
142,1065126.005,4067870.0,3.819144385,0,0.0,0.0,0.0,403,127.6202171,4,4,4,0.147859922,0.233463035,0.573466476,0.03038288,0.301924678,0.08469124,0.166153779,5,16,834.0858209,129
972,675800.7428,0.0,0.0,0,0.0,0.0,0.0,2,22.50625,1,4,3,0.30155642,0.229571984,0.001426534,0.005355671,0.003391102,0.004962757,0.004373386,3,4,1116.446875,130
