name,resili_a,resili_b,resili_c,resili_d,resili_e,suscep_a,suscep_b,suscep_c,suscep_d,suscep_e,exposi,resili,suscep,vulnera,exposi_a,exposi_b,exposi_c,exposi_d,id
PLANETARIO LINDAVISTA,0.244491826673709,0.221202171918367,0.0,0.733494109833587,0.575962960503361,0.947,0.0,0.0,0.000914229901695,0.0,0.085,0.301,0.19,0.242,0.221,0.028,0.0,0.048,1648
TEPEYAC INSURGENTES,0.036561409337926,0.194945396023735,0.8833,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.074886342993032,0.1491,0.218,0.456,0.234,0.234,0.195,0.045,0.0,0.556,1649
SANTA ISABEL TOLA,0.036561409337926,0.194945396023735,0.8833,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.074886342993032,0.1491,0.169,0.456,0.234,0.196,0.195,0.045,0.0,0.367,1650
TEPETATES,0.035126279034203,0.18400903495952,0.73511,0.733494109833587,0.636363783694409,0.947,0.0,0.0,0.054423490403346,0.1121,0.161,0.425,0.223,0.21,0.184,0.001,0.0,0.433,1651
ROSAS DEL TEPEYAC,0.035126279034203,0.18400903495952,0.73511,0.733494109833587,0.636363783694409,0.947,0.0,0.0,0.054423490403346,0.1121,0.06,0.425,0.223,0.132,0.184,0.001,0.0,0.043,1652
TRIUNFO DE LA REPUBLICA,0.035126279034203,0.18400903495952,0.73511,0.733494109833587,0.636363783694409,0.947,0.0,0.0,0.054423490403346,0.1121,0.181,0.425,0.223,0.224,0.184,0.001,0.0,0.509,1653
PARQUE DEL TEPEYAC,0.0173515819863,0.157047424170719,0.7622,0.733494109833587,0.623970978707279,0.947,0.0,0.0,0.035893832627556,0.08,0.134,0.415,0.213,0.19,0.157,0.0,0.0,0.36,1654
SAN JOSE DE LA PRADERA,0.169106311605799,0.152145869781061,0.48745,0.733494109833587,0.625353212054912,0.947,0.0,0.0,0.146763719988383,0.1438,0.176,0.374,0.248,0.298,0.152,0.0,0.0,0.521,1655
ESTANZUELA,0.169106311605799,0.152145869781061,0.48745,0.733494109833587,0.625353212054912,0.947,0.0,0.0,0.146763719988383,0.1438,0.065,0.374,0.248,0.212,0.152,0.0,0.0,0.099,1656
LA DINAMITA,0.169106311605799,0.152145869781061,0.48745,0.733494109833587,0.625353212054912,0.947,0.0,0.0,0.146763719988383,0.1438,0.094,0.374,0.248,0.234,0.152,0.0,0.0,0.207,1657
