Población,Precipitación,"Edad infra","Índice ingreso","Falla infra","Presión mediática","Falta infra","Escasez",Hundimiento,"Enfermedades gastro","Sin drenaje","Sin agua",Encharcamientos,id
3074,744,50,0.680982536,0.5,0.0625,0.0625,0.0625,1,0.46509,0,0.3822,0.325247624,6276
2625,750,50,0.776256911,1,0.125,0.0625,0.0625,1,0.51813,0,0,3.2498194417,6389
2991,741,50,0.794352656,0.5,0.0625,0.0625,0.0625,1,1.33412,0,0,2.0896571666,6463
6604,755,50,0.690681094,0.5,0.125,0.125,0.0625,1,0.929,0.7692,3.5503,2.9997904822,6438
3806,754,50,0.592403338,1,0.125,0.0625,0.0625,1,0.55353,2.452,0,2.0275787728,6439
4359,755,50,0.679480444,0.5,0.0625,0.0625,0.0625,1,0.60728,0,0.5907,1.9248363261,6510
4755,747,50,0.632922461,1,0.125,0.0625,0.0625,1,0.48646,0.2256,0,4.0185119709,6401
4322,746,50,0.533658501,1,0.125,0.0625,0.0625,1,0.22946,0.2463,1.1429,1.3912944536,6370
3189,751,50,0.772809074,1,0.0625,0.0625,0.0625,1,1.98394,0,0,1.5765310563,6406
3537,728,50,0.421880354,0.25,0.0625,0.0625,0.0625,1,0.86239,0,0,0.0007626687,6536
4704,751,50,0.637152393,0.5,0.125,0.0625,0.0625,0,2.74129,0,0,1.2906747444,6366
4332,748,50,0.701962215,1,0.125,0.0625,0.0625,1,0.61544,0,0,7.0127253014,6405
789,740,50,0.790882647,0.5,0.0625,0.0625,0.0625,0,0.07627,0,0,2.220801157,6296
5381,737,50,0.556160702,0.5,0.0625,0.0625,0.0625,1,1.0184,0,0.2757,0.1630023668,6265
4954,723,50,0.514560532,0.25,0.0625,0.0625,0.0625,1,1.22572,0,0.7235,0.9188360204,6534
2312,744,50,0.766240125,0.5,0.0625,0.0625,0.0625,1,2.24068,0,0,0,6483
4383,740,50,0.500270216,0.25,0.125,0.0625,0.0625,0,1.07606,0,0.6387,0.2310176423,6514
12546,731,50,0,0.25,0.0625,0.0625,0.0625,1,2.56488,0,0,4.3833260798,6257
3892,739,50,0.819165041,0.5,0.125,0.0625,0.0625,1,1.96634,0,0,2.08770228,6466
2808,736,50,0.815567089,0.5,0.0625,0.0625,0.0625,1,1.42144,0,0,3.0067163416,6469
1782,744,50,0.720356476,0.5,0.0625,0.0625,0.0625,1,0.7894,0,0,2.3420439271,6461
6109,734,50,0.681760492,0.5,0.125,0.0625,0.0625,1,3.00407,0,0,6.0715710823,6472
3465,746,50,0.764806607,0.5,0.0625,0.0625,0.0625,1,3.32533,0,0,1.4808501778,6460
2595,740,50,0.691726237,0.5,0.0625,0.0625,0.0625,1,1.3596,0,0,3,6467
567,750,50,0.192190069,1,0.125,0.0625,0.0625,1,0.26763,0,0,3.1430559823,6408
1182,758,50,0.465955135,0.25,0.0625,0.0625,0.0625,1,0.65141,4.8611,6.6202,2.5841171996,6311
2429,749,50,0.689358292,0.5,0.0625,0.0625,0.0625,1,0.48758,0,0.6689,5.0582360154,6307
2609,750,50,0.691394709,0.5,0.0625,0.0625,0.0625,1,0.50132,0,0,2.8653569247,6329
3779,747,50,0.707472493,1,0.125,0.0625,0.0625,1,0.28773,0,0,0.7532277973,6383
3123,747,50,0.722676784,1,0.125,0.0625,0.0625,1,0.23307,0,0,0.3347499886,6400
3165,746,50,0.682962804,1,0.25,0.0625,0.0625,1,0.23216,0,0,0.9331084229,6369
2017,745,50,0.845211715,1,0.25,0.0625,0.0625,1,0.40775,0,0,8.6850523999,6341
1179,745,50,0.615299561,0.5,0.25,0.0625,0.0625,1,0.124,2.4064,0,4.7766424942,6355
2431,748,50,0.781161833,1,0.25,0.0625,0.0625,1,0.48085,0,0,43.7056008246,6356
3245,744,50,0.823341655,1,0.0625,0.0625,0.0625,1,0.32351,0,0,4.1326054436,6340
2473,743,50,0.815360783,1,0.125,0.0625,0.0625,1,0.23741,0,0,5.1073515778,6339
10011,747,50,0.706365647,0.5,0.125,0.25,0.0625,1,0.69811,0.1884,0.3454,3.2230578175,6275
1952,738,50,0.743312274,0.5,0.0625,0.0625,0.0625,1,0.19809,0,0,7.4451539083,6540
4641,739,50,0.681629372,0.5,0.0625,0.0625,0.0625,1,0.45678,0,0,9.2947979928,6539
1242,740,50,0.756114309,0.5,0.0625,0.0625,0.0625,1,0.17957,0,0,25.1854363203,6547
1209,741,50,0.658772584,0.5,0.25,0.0625,0.0625,1,0.11597,0,0,15.8619871213,6290
